,City,Cloudiness,Date,Country,Humidity,Temperature,Latitude,Longtitude,Wind Speed
0,jamestown,90,1619472596,US,29,284.26,42.097,-79.2353,2.57
1,bluff,56,1619472742,NZ,85,279.26,-46.6,168.3333,1.79
2,kavieng,55,1619472742,PG,72,301.47,-2.5744,150.7967,0.48
3,port lincoln,20,1619472742,NO,80,271.15,70.3705,31.1107,7.2
4,vardo,42,1619472743,BR,69,291.53,-30.1811,-50.2056,4.49
5,cidreira,98,1619472743,NZ,85,279.26,-46.1927,168.8643,1.79
6,mataura,74,1619472743,PF,74,298.47,-23.1203,-134.9692,3.88
7,san cristobal,75,1619472744,PT,82,291.15,33.0833,-16.3333,5.14
8,rikitea,100,1619472614,IQ,16,308.15,33.3406,44.4009,4.12
9,camacha,1,1619472744,CA,72,260.15,69.4541,-133.0374,6.69
10,baghdad,100,1619472744,RU,94,277.06,61.5598,45.934,1.87
11,tuktoyaktuk,40,1619472457,CA,52,260.93,62.456,-114.3525,6.17
12,krasnoborsk,100,1619472745,RU,88,265.6,71.9667,102.5,6.44
13,yellowknife,92,1619472745,GL,70,277.24,77.484,-69.3632,3.25
14,khatanga,65,1619472745,BR,80,299.75,-2.8856,-40.12,5.6
15,qaanaaq,10,1619472746,UY,71,287.43,-33.6971,-53.4616,3.7
16,acarau,75,1619472596,TO,94,297.15,-21.2,-175.2,4.12
17,chuy,3,1619472746,JP,64,290.5,28.3667,129.4833,4.57
18,vaini,1,1619472746,US,20,288.15,41.3712,-73.414,7.2
19,ribeira grande,4,1619472747,CL,81,286.59,-37.6167,-73.65,4.81
20,naze,33,1619472747,TZ,87,292.76,-2.5167,32.9,1.38
21,bethel,73,1619472748,PF,76,299.66,-9.8,-139.0333,6.85
22,cape town,100,1619472737,HK,90,296.48,22.2855,114.1577,7.74
23,lebu,20,1619472748,AU,93,281.48,-42.8794,147.3294,1.54
24,mwanza,100,1619472748,RU,98,273.94,66.8333,70.8333,6
25,atuona,61,1619472749,SO,76,301.16,5.3505,48.5268,3.76
26,victoria,1,1619472521,US,28,285.37,42.6001,-73.9662,4.47
27,hobart,20,1619472749,CK,74,301.15,-21.2078,-159.775,2.06
28,yar-sale,40,1619472750,BB,57,301.15,13.2167,-59.5167,7.2
29,hobyo,75,1619472750,GL,75,277.15,65.6145,-37.6368,3.56
30,albany,90,1619472528,AR,87,280.15,-54.8,-68.3,1.54
31,belushya guba,46,1619472751,CD,86,295.69,-3.4833,23.4333,0.58
32,avarua,10,1619472751,MV,64,301.15,-0.6,73.0833,2.19
33,port hedland,90,1619472590,CA,86,271.15,63.7506,-68.5145,10.8
34,bathsheba,90,1619472752,CN,94,287.15,36.3897,120.4622,2
35,illoqqortoormiut,63,1619472752,MG,90,295.95,-14.9003,50.2788,2.51
36,taolanaro,90,1619472752,CA,65,278.15,47.6666,-52.7314,9.77
37,tasiilaq,90,1619472753,CA,69,275.15,49.7834,-74.8492,7.2
38,falealupo,100,1619472753,AU,92,287.04,-33.65,115.3333,1.54
39,ushuaia,85,1619472753,ID,88,297.1,-3.8004,102.2655,1.98
40,lodja,29,1619472754,RU,63,277.13,58.6667,66.5667,3.84
41,hithadhoo,0,1619472754,AU,67,290.15,-24.8667,113.6333,2.57
42,iqaluit,40,1619472755,US,57,299.15,19.7297,-155.09,3.09
43,port alfred,37,1619472755,MR,18,303.62,20.5022,-10.0711,4.46
44,jimo,16,1619472755,ZA,87,284.15,-34.5322,20.0403,2.16
45,antalaha,0,1619472756,RU,69,275.15,64.3833,-173.3,2
46,punta arenas,100,1619472756,CN,84,288.99,29.3848,104.0286,0.43
47,torbay,100,1619472756,RU,96,279.81,47.1483,42.4633,4.15
48,chapais,0,1619472757,IN,49,301.77,22.4167,71.1833,5.76
49,busselton,60,1619472757,ZA,87,288.71,-34.4187,19.2345,2.76
50,bengkulu,80,1619472758,RU,90,279.85,50.4578,40.1081,5.61
51,kuminskiy,35,1619472758,PT,93,289.26,40.1629,-8.3327,3.13
52,carnarvon,7,1619472759,MG,72,295.79,-25.1667,45.05,2.82
53,grand centre,95,1619472759,PG,74,301.11,-2.0226,147.2712,0.42
54,hilo,97,1619472760,RU,97,257.03,71.9167,114.0833,2.02
55,adrar,51,1619472760,BR,73,290.27,-24.7911,-50.0119,1.12
56,bredasdorp,29,1619472760,OM,36,303.36,22.5667,59.5289,4.65
57,provideniya,63,1619472761,ZW,34,292.66,-20.3267,30.0665,0.64
58,luocheng,23,1619472479,AR,33,293.85,-43.3002,-65.1023,2.42
59,zimovniki,79,1619472761,BR,83,298.52,-9.0122,-35.2225,3.26
