,City,Cloudiness,Date,Country,Humidity,Temperature,Latitude,Longtitude,Wind Speed
0,victoria,74,1619290803,HK,86,298.15,22.2855,114.1577,0.45
1,zapolyarnyy,90,1619290906,RU,100,273.15,69.4154,30.8136,6.17
2,luanda,40,1619290853,AO,83,299.15,-8.8368,13.2343,1.54
3,bluff,100,1619290800,NZ,86,282.04,-46.6,168.3333,2.24
4,adrar,6,1619291031,MR,11,305.73,20.5022,-10.0711,4.79
5,nikolskoye,20,1619291032,RU,70,277.15,59.7035,30.7861,2
6,faanui,100,1619291032,PF,73,300.06,-16.4833,-151.75,4.33
7,hanna,77,1619290838,CA,27,277.59,51.6334,-111.9018,2.24
8,mizan teferi,75,1619291010,CA,57,265.93,62.456,-114.3525,5.66
9,chagda,20,1619291033,TR,58,284.15,40.602,43.095,8.23
10,yellowknife,87,1619290749,US,18,294.26,42.6001,-73.9662,1.79
11,kars,52,1619291033,KI,76,301.19,3.0707,172.7902,5.42
12,albany,90,1619291034,RU,79,279.74,52.4333,47.2167,7.26
13,karamken,51,1619290843,TL,92,287.19,-8.9266,125.4092,1.23
14,butaritari,86,1619291034,NZ,88,282.04,-46.1927,168.8643,1.79
15,cherkasskoye,90,1619290860,US,94,291.48,33.194,-82.5271,3.09
16,airai,40,1619290775,AU,76,282.59,-42.8794,147.3294,4.63
17,mataura,75,1619290745,AR,58,286.15,-54.8,-68.3,5.66
18,avera,13,1619290884,MG,92,296.42,-13.2,49.05,1.58
19,hobart,100,1619290831,PF,72,299.03,-23.1203,-134.9692,7.32
20,port elizabeth,100,1619291035,CN,61,278.86,42.2683,118.9636,0.81
21,ushuaia,20,1619291035,NO,64,274.82,69.3143,16.1194,3.6
22,barentsburg,1,1619291036,US,18,301.48,30.0474,-99.1403,4.12
23,ambilobe,6,1619291036,CN,28,278.99,42.2931,123.8414,2.56
24,rikitea,100,1619291036,RU,84,269.05,50.2696,85.6108,0.56
25,chifeng,100,1619291036,SB,84,298.69,-9.4333,159.95,1.12
26,andenes,0,1619290839,AU,94,290.15,-24.8667,113.6333,3.09
27,punta arenas,100,1619290927,UY,72,295.03,-33.6971,-53.4616,2.85
28,kerrville,76,1619290872,SB,82,299.49,-8.145,159.5921,1.25
29,tieling,75,1619291037,RU,93,273.15,69.0689,33.4162,3
30,ust-koksa,40,1619291038,IN,79,302.15,12.6264,80.1722,2.06
31,honiara,0,1619291038,AU,89,284.26,-33.65,115.3333,0.87
32,carnarvon,100,1619291038,ZA,81,289.82,-34.4187,19.2345,1.34
